"Continent","Chrome","IE","Firefox","Yandex Browser","Safari","Android","Edge","Opera","Sogou Explorer","QQ Browser","Maxthon","UC Browser","Coc Coc","360 Safe Browser","Chromium","Amigo","Silk","SeaMonkey","Iron","Phantom","Pale Moon"
Guinea ,39.18,12.4,25.96,0,5.19,4.6,0,10.28,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,50,10.86,24.04,0,7.24,1.79,2.44,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,50.36,10.26,16.78,7.12,4.25,5.51,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,21.82,32.62,20.1,0,19.87,2.4,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,39.11,29.74,17.05,0,3.59,2.96,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),33.38,17.86,30.16,0,5.95,2.21,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,27.61,28.15,17.35,0,2.45,2.05,0,21.14,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,27.4,10.1,53.47,0,3.99,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,36.56,8.32,43.39,0,4.21,1.61,1.22,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,40.43,16.09,26.34,0,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,32.98,19.87,44.56,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,43,26.05,9.74,0,13.44,1.96,1.53,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0
Liberia ,38.65,18.79,21.49,0,9.21,3.85,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,31.42,16.56,33.68,0,5.57,1.72,2.32,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,29.94,15.8,29.05,0,3.53,3.08,0,16.33,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,31.24,28.61,11.41,0,23.86,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,15.61,6.11,7,0,1.55,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,57.95,0
Marshall Islands ,50.82,8.8,13.33,0,20.54,3.04,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
